minute,tokens_in_min,tokens_out_min,tokens_total_min,latency_mean_s,latency_med_s,requests,errors,invalid_json,cost_min_usd
0,7458,4730,12188,0.8529014318178683,0.5251388500018948,22,0,0,0.0
1,3729,2183,5912,0.5165699272722784,0.49667849999968894,11,0,0,0.0
2,3051,1547,4598,0.46125379999890964,0.4582241999996768,9,0,0,0.0
3,4068,2509,6577,0.49988219999886496,0.4895833999980823,12,0,0,0.0
4,7119,4487,11606,0.5090757619050453,0.4744016999975429,21,0,0,0.0
5,4407,2768,7175,0.5006592307693679,0.47216869999829214,13,0,0,0.0
6,3390,2058,5448,0.4817250400003104,0.46797390000210726,10,0,0,0.0
7,6441,3447,9888,0.553117210526436,0.48284609999973327,19,0,0,0.0
8,4746,3183,7929,0.5231409642853707,0.4985308499999519,14,0,0,0.0
9,3390,2111,5501,0.49441904000050274,0.4971315000002505,10,0,0,0.0
10,3390,2005,5395,0.47880848000058907,0.46962059999896155,10,0,0,0.0
11,5085,2992,8077,0.4706213933325974,0.47098889999688254,15,0,0,0.0
12,5085,3145,8230,0.5106276200000138,0.48557339999752,15,0,0,0.0
13,5424,3818,9242,0.5123221437504526,0.48212305000015476,16,0,0,0.0
14,4407,2449,6856,0.4774555153842532,0.5121776999985741,13,0,0,0.0
15,339,158,497,0.4868553999986034,0.4868553999986034,1,0,0,0.0
